City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Kapaa,22.08,-159.32,80.6,69,75,13.87,US,1600439033
Kruisfontein,-34.0,24.73,66.0,67,100,11.99,ZA,1600439034
Okha,53.57,142.95,51.69,92,100,27.31,RU,1600439034
Thompson,55.74,-97.86,30.2,100,75,2.37,CA,1600439034
Ushuaia,-54.8,-68.3,30.2,100,90,35.57,AR,1600439034
Punta Arenas,-53.15,-70.92,35.6,69,20,24.16,CL,1600438853
Cidreira,-30.18,-50.21,70.61,74,0,2.95,BR,1600439034
Khani,41.96,42.96,80.6,69,40,11.41,GE,1600439035
Tasiilaq,65.61,-37.64,39.2,80,90,20.8,GL,1600439035
Puri,19.8,85.85,86.0,84,40,9.17,IN,1600438754
Abu Kamal,34.45,40.92,104.58,7,0,17.25,SY,1600439035
Bluff,-46.6,168.33,48.0,81,99,15.01,NZ,1600439035
Busselton,-33.65,115.33,55.0,55,65,13.15,AU,1600439035
Portland,45.52,-122.68,63.0,95,100,2.73,US,1600438866
Chui,-33.7,-53.46,65.89,65,0,8.88,UY,1600439035
Hanmer Springs,-42.52,172.82,41.34,79,0,6.29,NZ,1600439036
Severo-Kuril'sk,50.68,156.12,53.31,95,100,13.44,RU,1600439036
Curumaní,9.2,-73.54,81.55,81,99,2.04,CO,1600439036
Longyearbyen,78.22,15.64,39.2,86,75,2.04,SJ,1600439036
Salalah,17.02,54.09,82.4,74,20,11.41,OM,1600439036
Atuona,-9.8,-139.03,76.95,74,31,17.63,PF,1600439036
Clyde River,70.47,-68.59,32.0,93,75,14.99,CA,1600439037
Kawalu,-7.38,108.21,74.28,88,99,2.77,ID,1600439037
Yellowknife,62.46,-114.35,41.0,100,40,8.05,CA,1600438953
Inongo,-1.95,18.27,79.97,68,28,1.57,CD,1600439037
Nyurba,63.28,118.33,42.66,82,0,3.24,RU,1600439037
Kango,0.19,10.1,79.27,85,100,3.53,GA,1600439037
Darłowo,54.42,16.41,59.38,53,11,9.08,PL,1600439037
Rikitea,-23.12,-134.97,71.31,84,10,18.95,PF,1600439038
San Andrés,12.58,-81.7,84.2,79,40,5.82,CO,1600438793
Ilulissat,69.22,-51.1,32.0,87,75,2.24,GL,1600438957
Nanzhou,29.36,112.4,66.33,83,57,4.52,CN,1600439038
Klaksvík,62.23,-6.59,51.8,81,0,10.29,FO,1600439038
Muros,42.78,-9.06,73.0,67,0,7.0,ES,1600439038
Norman Wells,65.28,-126.83,42.8,87,75,3.36,CA,1600439038
Banikoara,11.3,2.44,82.47,80,89,4.65,BJ,1600439038
Saskylakh,71.92,114.08,50.65,70,3,11.23,RU,1600439039
Ribeira Grande,38.52,-28.7,71.6,68,75,16.11,PT,1600439039
Puerto Ayora,-0.74,-90.35,65.95,88,100,9.8,EC,1600439039
Husum,54.49,9.05,64.4,42,23,4.7,DE,1600439039
Iqaluit,63.75,-68.51,39.2,64,75,17.22,CA,1600438757
Gizo Government Station,-8.1,156.84,81.05,78,100,10.94,SB,1600439039
Barrow,71.29,-156.79,39.2,86,90,17.22,US,1600439040
East London,-33.02,27.91,66.2,68,0,20.8,ZA,1600439040
Dikson,73.51,80.55,43.72,91,80,8.72,RU,1600439040
Vaini,-21.2,-175.2,69.8,94,90,9.17,TO,1600439040
Lake Elsinore,33.67,-117.33,69.01,20,0,0.51,US,1600439040
Inírida,3.87,-67.92,86.59,65,86,2.73,CO,1600439041
Malaya Vishera,58.85,32.22,48.33,70,93,11.1,RU,1600439041
Mbaïki,3.87,17.99,79.54,89,69,4.05,CF,1600439041
Dandong,40.13,124.39,55.42,70,0,4.09,CN,1600439041
Matamoros,25.53,-103.25,64.99,93,5,5.61,MX,1600438759
Bac Lieu,9.29,105.72,79.77,83,100,17.69,VN,1600439041
Yar-Sale,66.83,70.83,46.45,90,83,8.23,RU,1600439042
Tiksi,71.69,128.87,47.37,75,0,14.03,RU,1600439042
New Norfolk,-42.78,147.06,42.01,73,0,5.01,AU,1600439042
Bonavista,48.65,-53.11,51.42,93,100,11.07,CA,1600439042
Hilo,19.73,-155.09,71.6,73,1,5.82,US,1600439042
Hamilton,39.18,-84.53,60.8,59,1,11.41,US,1600438752
Liverpool,53.41,-2.98,69.01,59,83,10.29,GB,1600439042
Ulkan,57.24,107.32,45.64,74,0,1.72,RU,1600439043
Saint George,37.1,-113.58,69.8,16,1,4.41,US,1600438954
Mataura,-46.19,168.86,48.0,81,100,15.01,NZ,1600439043
Kahului,20.89,-156.47,73.99,69,1,10.78,US,1600439043
Qaanaaq,77.48,-69.36,21.36,89,3,6.91,GL,1600439043
Faanui,-16.48,-151.75,77.74,81,4,18.41,PF,1600439043
Port Augusta,-32.5,137.77,66.2,77,100,9.17,AU,1600439043
Hermanus,-34.42,19.23,59.0,85,75,3.0,ZA,1600439044
